,Summary Level,State Name,State Abbrev,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description),census_code
0,10,USA,USA,0,0,0,0,0,United States,USA-0-00
1,40,Alabama,AL,1,0,0,0,0,Alabama,AL-1-10
2,50,Alabama,AL,1,1,0,0,0,Autauga County,AL-1-11
3,50,Alabama,AL,1,3,0,0,0,Baldwin County,AL-1-13
4,50,Alabama,AL,1,5,0,0,0,Barbour County,AL-1-15
5,50,Alabama,AL,1,7,0,0,0,Bibb County,AL-1-17
6,50,Alabama,AL,1,9,0,0,0,Blount County,AL-1-19
7,50,Alabama,AL,1,11,0,0,0,Bullock County,AL-1-111
8,50,Alabama,AL,1,13,0,0,0,Butler County,AL-1-113
9,50,Alabama,AL,1,15,0,0,0,Calhoun County,AL-1-115
10,50,Alabama,AL,1,17,0,0,0,Chambers County,AL-1-117
11,50,Alabama,AL,1,19,0,0,0,Cherokee County,AL-1-119
12,50,Alabama,AL,1,21,0,0,0,Chilton County,AL-1-121
13,50,Alabama,AL,1,23,0,0,0,Choctaw County,AL-1-123
14,50,Alabama,AL,1,25,0,0,0,Clarke County,AL-1-125
15,50,Alabama,AL,1,27,0,0,0,Clay County,AL-1-127
16,50,Alabama,AL,1,29,0,0,0,Cleburne County,AL-1-129
17,50,Alabama,AL,1,31,0,0,0,Coffee County,AL-1-131
18,50,Alabama,AL,1,33,0,0,0,Colbert County,AL-1-133
19,50,Alabama,AL,1,35,0,0,0,Conecuh County,AL-1-135
20,50,Alabama,AL,1,37,0,0,0,Coosa County,AL-1-137
21,50,Alabama,AL,1,39,0,0,0,Covington County,AL-1-139
22,50,Alabama,AL,1,41,0,0,0,Crenshaw County,AL-1-141
23,50,Alabama,AL,1,43,0,0,0,Cullman County,AL-1-143
24,50,Alabama,AL,1,45,0,0,0,Dale County,AL-1-145
25,50,Alabama,AL,1,47,0,0,0,Dallas County,AL-1-147
26,50,Alabama,AL,1,49,0,0,0,DeKalb County,AL-1-149
27,50,Alabama,AL,1,51,0,0,0,Elmore County,AL-1-151
28,50,Alabama,AL,1,53,0,0,0,Escambia County,AL-1-153
29,50,Alabama,AL,1,55,0,0,0,Etowah County,AL-1-155
30,50,Alabama,AL,1,57,0,0,0,Fayette County,AL-1-157
31,50,Alabama,AL,1,59,0,0,0,Franklin County,AL-1-159
32,50,Alabama,AL,1,61,0,0,0,Geneva County,AL-1-161
33,50,Alabama,AL,1,63,0,0,0,Greene County,AL-1-163
34,50,Alabama,AL,1,65,0,0,0,Hale County,AL-1-165
