,year,st,stfips,county,registry,race,hispanic,sex,age,pop
183246,1969,OR,41,41055,99,1,9,1,0,15
183247,1969,OR,41,41055,99,1,9,2,0,21
183248,1969,OR,41,41055,99,3,9,1,0,1
183249,1969,OR,41,41055,99,1,9,1,1,63
183250,1969,OR,41,41055,99,1,9,2,1,58
183251,1969,OR,41,41055,99,3,9,2,1,1
183252,1969,OR,41,41055,99,1,9,1,2,91
183253,1969,OR,41,41055,99,1,9,2,2,86
183254,1969,OR,41,41055,99,3,9,1,2,2
183255,1969,OR,41,41055,99,3,9,2,2,3
183256,1969,OR,41,41055,99,1,9,1,3,108
183257,1969,OR,41,41055,99,1,9,2,3,118
183258,1969,OR,41,41055,99,3,9,1,3,1
183259,1969,OR,41,41055,99,3,9,2,3,2
183260,1969,OR,41,41055,99,1,9,1,4,102
183261,1969,OR,41,41055,99,1,9,2,4,100
183262,1969,OR,41,41055,99,3,9,1,4,2
183263,1969,OR,41,41055,99,1,9,1,5,32
183264,1969,OR,41,41055,99,1,9,2,5,49
183265,1969,OR,41,41055,99,1,9,1,6,62
183266,1969,OR,41,41055,99,1,9,2,6,65
183267,1969,OR,41,41055,99,3,9,2,6,2
183268,1969,OR,41,41055,99,1,9,1,7,51
183269,1969,OR,41,41055,99,1,9,2,7,51
183270,1969,OR,41,41055,99,3,9,1,7,2
183271,1969,OR,41,41055,99,1,9,1,8,50
183272,1969,OR,41,41055,99,1,9,2,8,57
183273,1969,OR,41,41055,99,1,9,1,9,76
183274,1969,OR,41,41055,99,1,9,2,9,85
183275,1969,OR,41,41055,99,3,9,1,9,7
183276,1969,OR,41,41055,99,3,9,2,9,2
183277,1969,OR,41,41055,99,1,9,1,10,68
183278,1969,OR,41,41055,99,1,9,2,10,65
183279,1969,OR,41,41055,99,1,9,1,11,93
183280,1969,OR,41,41055,99,1,9,2,11,77
183281,1969,OR,41,41055,99,3,9,1,11,1
183282,1969,OR,41,41055,99,3,9,2,11,1
183283,1969,OR,41,41055,99,1,9,1,12,86
183284,1969,OR,41,41055,99,1,9,2,12,87
183285,1969,OR,41,41055,99,3,9,1,12,1
183286,1969,OR,41,41055,99,1,9,1,13,77
183287,1969,OR,41,41055,99,1,9,2,13,60
183288,1969,OR,41,41055,99,1,9,1,14,34
183289,1969,OR,41,41055,99,1,9,2,14,35
183290,1969,OR,41,41055,99,1,9,1,15,32
183291,1969,OR,41,41055,99,1,9,2,15,38
183292,1969,OR,41,41055,99,1,9,1,16,19
183293,1969,OR,41,41055,99,1,9,2,16,16
183294,1969,OR,41,41055,99,1,9,1,17,9
183295,1969,OR,41,41055,99,1,9,2,17,19
183296,1969,OR,41,41055,99,1,9,1,18,6
183297,1969,OR,41,41055,99,1,9,2,18,3
444611,1970,OR,41,41055,99,1,9,1,0,15
444612,1970,OR,41,41055,99,1,9,2,0,20
444613,1970,OR,41,41055,99,3,9,1,0,1
444614,1970,OR,41,41055,99,1,9,1,1,60
444615,1970,OR,41,41055,99,1,9,2,1,56
444616,1970,OR,41,41055,99,3,9,2,1,1
444617,1970,OR,41,41055,99,1,9,1,2,88
444618,1970,OR,41,41055,99,1,9,2,2,82
444619,1970,OR,41,41055,99,3,9,1,2,2
444620,1970,OR,41,41055,99,3,9,2,2,3
444621,1970,OR,41,41055,99,1,9,1,3,104
444622,1970,OR,41,41055,99,1,9,2,3,114
444623,1970,OR,41,41055,99,3,9,1,3,1
444624,1970,OR,41,41055,99,3,9,2,3,2
444625,1970,OR,41,41055,99,1,9,1,4,99
444626,1970,OR,41,41055,99,1,9,2,4,98
444627,1970,OR,41,41055,99,3,9,1,4,2
444628,1970,OR,41,41055,99,1,9,1,5,40
444629,1970,OR,41,41055,99,1,9,2,5,51
444630,1970,OR,41,41055,99,1,9,1,6,62
444631,1970,OR,41,41055,99,1,9,2,6,61
444632,1970,OR,41,41055,99,3,9,2,6,2
444633,1970,OR,41,41055,99,1,9,1,7,51
444634,1970,OR,41,41055,99,1,9,2,7,51
444635,1970,OR,41,41055,99,3,9,1,7,2
444636,1970,OR,41,41055,99,1,9,1,8,47
444637,1970,OR,41,41055,99,1,9,2,8,53
444638,1970,OR,41,41055,99,1,9,1,9,70
444639,1970,OR,41,41055,99,1,9,2,9,77
444640,1970,OR,41,41055,99,3,9,1,9,6
444641,1970,OR,41,41055,99,3,9,2,9,2
444642,1970,OR,41,41055,99,1,9,1,10,65
444643,1970,OR,41,41055,99,1,9,2,10,63
444644,1970,OR,41,41055,99,3,9,1,10,1
444645,1970,OR,41,41055,99,1,9,1,11,87
444646,1970,OR,41,41055,99,1,9,2,11,74
444647,1970,OR,41,41055,99,3,9,1,11,1
444648,1970,OR,41,41055,99,3,9,2,11,1
444649,1970,OR,41,41055,99,1,9,1,12,82
444650,1970,OR,41,41055,99,1,9,2,12,81
444651,1970,OR,41,41055,99,3,9,1,12,1
444652,1970,OR,41,41055,99,1,9,1,13,75
444653,1970,OR,41,41055,99,1,9,2,13,60
444654,1970,OR,41,41055,99,1,9,1,14,38
444655,1970,OR,41,41055,99,1,9,2,14,38
444656,1970,OR,41,41055,99,1,9,1,15,29
444657,1970,OR,41,41055,99,1,9,2,15,35
444658,1970,OR,41,41055,99,1,9,1,16,18
444659,1970,OR,41,41055,99,1,9,2,16,20
444660,1970,OR,41,41055,99,1,9,1,17,10
444661,1970,OR,41,41055,99,1,9,2,17,17
444662,1970,OR,41,41055,99,1,9,1,18,5
444663,1970,OR,41,41055,99,1,9,2,18,6
709328,1971,OR,41,41055,99,1,9,1,0,14
709329,1971,OR,41,41055,99,1,9,2,0,18
709330,1971,OR,41,41055,99,3,9,1,0,1
709331,1971,OR,41,41055,99,1,9,1,1,58
709332,1971,OR,41,41055,99,1,9,2,1,55
709333,1971,OR,41,41055,99,3,9,2,1,1
709334,1971,OR,41,41055,99,1,9,1,2,85
709335,1971,OR,41,41055,99,1,9,2,2,78
709336,1971,OR,41,41055,99,3,9,1,2,2
709337,1971,OR,41,41055,99,3,9,2,2,3
709338,1971,OR,41,41055,99,1,9,1,3,100
709339,1971,OR,41,41055,99,1,9,2,3,110
709340,1971,OR,41,41055,99,3,9,1,3,1
709341,1971,OR,41,41055,99,3,9,2,3,2
709342,1971,OR,41,41055,99,1,9,1,4,96
709343,1971,OR,41,41055,99,1,9,2,4,96
709344,1971,OR,41,41055,99,3,9,1,4,2
709345,1971,OR,41,41055,99,1,9,1,5,48
709346,1971,OR,41,41055,99,1,9,2,5,53
709347,1971,OR,41,41055,99,1,9,1,6,62
709348,1971,OR,41,41055,99,1,9,2,6,57
709349,1971,OR,41,41055,99,3,9,2,6,2
709350,1971,OR,41,41055,99,1,9,1,7,51
709351,1971,OR,41,41055,99,1,9,2,7,51
709352,1971,OR,41,41055,99,3,9,1,7,2
709353,1971,OR,41,41055,99,1,9,1,8,44
709354,1971,OR,41,41055,99,1,9,2,8,49
709355,1971,OR,41,41055,99,1,9,1,9,64
709356,1971,OR,41,41055,99,1,9,2,9,69
709357,1971,OR,41,41055,99,3,9,1,9,5
709358,1971,OR,41,41055,99,3,9,2,9,2
709359,1971,OR,41,41055,99,1,9,1,10,62
709360,1971,OR,41,41055,99,1,9,2,10,61
709361,1971,OR,41,41055,99,3,9,1,10,2
709362,1971,OR,41,41055,99,1,9,1,11,81
709363,1971,OR,41,41055,99,1,9,2,11,71
709364,1971,OR,41,41055,99,3,9,1,11,1
709365,1971,OR,41,41055,99,3,9,2,11,1
709366,1971,OR,41,41055,99,1,9,1,12,78
709367,1971,OR,41,41055,99,1,9,2,12,75
709368,1971,OR,41,41055,99,3,9,1,12,1
709369,1971,OR,41,41055,99,1,9,1,13,73
709370,1971,OR,41,41055,99,1,9,2,13,60
709371,1971,OR,41,41055,99,1,9,1,14,42
709372,1971,OR,41,41055,99,1,9,2,14,41
709373,1971,OR,41,41055,99,1,9,1,15,26
709374,1971,OR,41,41055,99,1,9,2,15,32
709375,1971,OR,41,41055,99,1,9,1,16,17
709376,1971,OR,41,41055,99,1,9,2,16,24
709377,1971,OR,41,41055,99,1,9,1,17,11
709378,1971,OR,41,41055,99,1,9,2,17,15
709379,1971,OR,41,41055,99,1,9,1,18,4
709380,1971,OR,41,41055,99,1,9,2,18,9
978297,1972,OR,41,41055,99,1,9,1,0,13
978298,1972,OR,41,41055,99,1,9,2,0,17
978299,1972,OR,41,41055,99,3,9,1,0,1
978300,1972,OR,41,41055,99,1,9,1,1,61
978301,1972,OR,41,41055,99,1,9,2,1,59
978302,1972,OR,41,41055,99,3,9,2,1,1
978303,1972,OR,41,41055,99,1,9,1,2,86
978304,1972,OR,41,41055,99,1,9,2,2,79
978305,1972,OR,41,41055,99,3,9,1,2,2
978306,1972,OR,41,41055,99,3,9,2,2,2
978307,1972,OR,41,41055,99,1,9,1,3,104
978308,1972,OR,41,41055,99,1,9,2,3,112
978309,1972,OR,41,41055,99,3,9,1,3,1
978310,1972,OR,41,41055,99,3,9,2,3,2
978311,1972,OR,41,41055,99,1,9,1,4,100
978312,1972,OR,41,41055,99,1,9,2,4,102
978313,1972,OR,41,41055,99,3,9,1,4,2
978314,1972,OR,41,41055,99,1,9,1,5,56
978315,1972,OR,41,41055,99,1,9,2,5,55
978316,1972,OR,41,41055,99,1,9,1,6,72
978317,1972,OR,41,41055,99,1,9,2,6,63
978318,1972,OR,41,41055,99,3,9,2,6,2
